System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
11:34:18:191, 2730158549661886,    0.117,   12.000, 1300,   5.445,   0.635,   0.176,   1.974,   0.230,   0.064, 45,  0,   0.000,   0.000,   0.000,   0.261,   0.030,   0.008,  25.000,  51.000,  93.000,   0.000,   0.000,   42,  85.265
11:34:18:300, 2730158813985127,    0.226,   13.000, 1600,   5.186,   1.202,   0.334,   1.604,   0.406,   0.113, 45,  0,   0.000,   0.000,   0.000,   0.505,   0.086,   0.024,  25.000,  51.000,  93.000,   0.000,   0.000,   95,  87.761
11:34:18:409, 2730159077194357,    0.335,   12.000, 1300,   3.092,   1.538,   0.427,   0.992,   0.514,   0.143, 45,  0,   0.000,   0.000,   0.000,   0.367,   0.125,   0.035,  25.000,  51.000,  93.000,   0.000,   0.000,   75,  82.828
11:34:18:518, 2730159341959805,    0.444,   11.000, 1300,   3.818,   1.956,   0.543,   0.957,   0.618,   0.172, 45,  0,   0.000,   0.000,   0.000,   0.288,   0.157,   0.044,  25.000,  51.000,  93.000,   0.000,   0.000,   54,  73.223
11:34:18:627, 2730159604504741,    0.553,   11.000, 1300,   3.455,   2.331,   0.648,   0.965,   0.723,   0.201, 45,  0,   0.000,   0.000,   0.000,   0.236,   0.183,   0.051,  25.000,  51.000,  93.000,   0.000,   0.000,   49,  80.282
11:34:18:735, 2730159866245467,    0.661,   12.000, 3600,   3.680,   2.729,   0.758,   1.308,   0.865,   0.240, 45,  0,   0.000,   0.000,   0.000,   0.299,   0.215,   0.060,  25.000,  51.000,  93.000,   0.000,   0.000,   57,  85.527
11:34:18:846, 2730160134412124,    0.772,   15.000, 3800,   5.344,   3.322,   0.923,   2.353,   1.125,   0.313, 48,  0,   0.000,   0.000,   0.000,   0.307,   0.249,   0.069,  25.000,  51.000,  93.000,   0.000,   0.000,   39,  84.593
11:34:18:955, 2730160398348424,    0.881,    9.000, 1300,   3.311,   3.683,   1.023,   1.028,   1.238,   0.344, 45,  0,   0.000,   0.000,   0.000,   0.223,   0.273,   0.076,  25.000,  51.000,  93.000,   0.000,   0.000,   37,  87.697
11:34:19:064, 2730160663472141,    0.990,   11.000, 1500,   3.630,   4.081,   1.134,   0.788,   1.324,   0.368, 46,  0,   0.000,   0.000,   0.000,   0.206,   0.296,   0.082,  25.000,  51.000,  93.000,   0.000,   0.000,   36,  85.598
11:34:19:174, 2730160929093394,    1.100,   10.000, 1300,   2.499,   4.355,   1.210,   0.712,   1.402,   0.389, 45,  0,   0.000,   0.000,   0.000,   0.185,   0.316,   0.088,  25.000,  51.000,  93.000,   0.000,   0.000,   37,  88.240
11:34:19:284, 2730161195612990,    1.210,   11.000, 2600,   2.978,   4.683,   1.301,   0.945,   1.506,   0.418, 46,  0,   0.000,   0.000,   0.000,   0.214,   0.340,   0.094,  25.000,  51.000,  93.000,   0.000,   0.000,   43,  81.000
11:34:19:394, 2730161459609718,    1.320,   12.000, 1300,   4.701,   5.196,   1.443,   1.213,   1.639,   0.455, 46,  0,   0.000,   0.000,   0.000,   0.210,   0.363,   0.101,  25.000,  51.000,  93.000,   0.000,   0.000,   35,  79.626
11:34:19:507, 2730161733513859,    1.433,   11.000, 1300,   2.768,   5.510,   1.530,   0.838,   1.733,   0.481, 45,  0,   0.000,   0.000,   0.000,   0.194,   0.385,   0.107,  25.000,  51.000,  93.000,   0.000,   0.000,   32,  86.386
11:34:19:611, 2730161985927699,    1.537,   10.000, 1300,   2.969,   5.819,   1.617,   1.012,   1.839,   0.511, 46,  0,   0.000,   0.000,   0.000,   0.245,   0.410,   0.114,  25.000,  51.000,  93.000,   0.000,   0.000,   40,  88.988
11:34:19:721, 2730162251809166,    1.647,    9.000, 1700,   2.592,   6.104,   1.696,   0.797,   1.927,   0.535, 45,  0,   0.000,   0.000,   0.000,   0.174,   0.429,   0.119,  25.000,  51.000,  93.000,   0.000,   0.000,   34,  85.560
11:34:19:831, 2730162517280741,    1.757,   17.000, 4200,   4.345,   6.581,   1.828,   2.154,   2.163,   0.601, 51,  0,   0.000,   0.000,   0.000,   0.196,   0.451,   0.125,  25.000,  51.000,  93.000,   0.000,   0.000,   42,  85.921
11:34:19:940, 2730162782649741,    1.866,   11.000, 1400,   4.560,   7.081,   1.967,   1.313,   2.307,   0.641, 45,  0,   0.000,   0.000,   0.000,   0.327,   0.487,   0.135,  25.000,  51.000,  93.000,   0.000,   0.000,   43,  82.398
11:34:20:049, 2730163045791132,    1.975,   11.000, 1400,   3.200,   7.429,   2.064,   0.900,   2.405,   0.668, 45,  0,   0.000,   0.000,   0.000,   0.370,   0.527,   0.146,  25.000,  51.000,  93.000,   0.000,   0.000,   56,  85.989
11:34:20:158, 2730163310078413,    2.084,   14.000, 1300,   2.842,   7.740,   2.150,   0.797,   2.492,   0.692, 45,  0,   0.000,   0.000,   0.000,   0.266,   0.556,   0.154,  25.000,  51.000,  93.000,   0.000,   0.000,   48,  82.853
11:34:20:275, 2730163591667349,    2.201,   13.000, 1900,   3.168,   8.109,   2.252,   1.092,   2.619,   0.728, 44,  0,   0.000,   0.000,   0.000,   0.231,   0.583,   0.162,  25.000,  51.000,  93.000,   0.000,   0.000,   52,  84.660
11:34:20:383, 2730163854364287,    2.309,   11.000, 2000,   3.674,   8.508,   2.363,   1.561,   2.789,   0.775, 45,  0,   0.000,   0.000,   0.000,   0.270,   0.612,   0.170,  25.000,  51.000,  93.000,   0.000,   0.000,   35,  85.246
11:34:20:493, 2730164118952427,    2.419,   14.000, 1300,   4.768,   9.029,   2.508,   1.545,   2.958,   0.822, 45,  0,   0.000,   0.000,   0.000,   0.239,   0.638,   0.177,  25.000,  51.000,  93.000,   0.000,   0.000,   30,  84.959
11:34:20:602, 2730164383505469,    2.528,   12.000, 1300,   3.905,   9.456,   2.627,   1.264,   3.096,   0.860, 44,  0,   0.000,   0.000,   0.000,   0.230,   0.663,   0.184,  25.000,  51.000,  93.000,   0.000,   0.000,   34,  86.501
11:34:20:710, 2730164644081199,    2.636,   13.000, 1400,   4.033,   9.890,   2.747,   0.952,   3.198,   0.888, 47,  0,   0.000,   0.000,   0.000,   0.188,   0.684,   0.190,  25.000,  51.000,  93.000,   0.000,   0.000,   31,  89.724
11:34:20:833, 2730164943097670,    2.759,   41.000, 4200,   4.330,  10.426,   2.896,   2.360,   3.490,   0.969, 56,  0,   0.000,   0.000,   0.000,   0.081,   0.694,   0.193,  25.000,  51.000,  93.000,   0.000,   0.000,   29,  88.808
11:34:20:928, 2730165171290290,    2.854,    9.000, 1500,   3.569,  10.762,   2.990,   1.707,   3.651,   1.014, 45,  0,   0.000,   0.000,   0.000,   0.228,   0.715,   0.199,  25.000,  51.000,  93.000,   0.000,   0.000,   27,  87.332
11:34:21:037, 2730165436294524,    2.963,    9.000, 1300,   2.616,  11.049,   3.069,   0.830,   3.742,   1.039, 44,  0,   0.000,   0.000,   0.000,   0.133,   0.730,   0.203,  25.000,  51.000,  93.000,   0.000,   0.000,   25,  88.616
11:34:21:146, 2730165698084445,    3.072,   11.000, 1300,   2.798,  11.352,   3.153,   0.833,   3.832,   1.065, 45,  0,   0.000,   0.000,   0.000,   0.185,   0.750,   0.208,  25.000,  51.000,  93.000,   0.000,   0.000,   25,  85.341
11:34:21:254, 2730165961227816,    3.180,   10.000, 1300,   3.799,  11.765,   3.268,   0.884,   3.928,   1.091, 45,  0,   0.000,   0.000,   0.000,   0.191,   0.771,   0.214,  25.000,  51.000,  93.000,   0.000,   0.000,   30,  86.783
11:34:21:363, 2730166224032744,    3.289,   16.000, 3400,   4.839,  12.291,   3.414,   1.624,   4.105,   1.140, 46,  0,   0.000,   0.000,   0.000,   0.184,   0.791,   0.220,  25.000,  51.000,  93.000,   0.000,   0.000,   28,  90.704
11:34:21:473, 2730166491051573,    3.399,    9.000, 1300,   2.967,  12.618,   3.505,   0.939,   4.208,   1.169, 44,  0,   0.000,   0.000,   0.000,   0.158,   0.808,   0.224,  25.000,  51.000,  93.000,   0.000,   0.000,   25,  83.036
11:34:21:582, 2730166755132201,    3.508,   10.000, 1300,   2.639,  12.906,   3.585,   0.848,   4.301,   1.195, 45,  0,   0.000,   0.000,   0.000,   0.078,   0.817,   0.227,  25.000,  51.000,  93.000,   0.000,   0.000,   27,  86.892
